Code,Year,Electoral democracy index
AFG,1789,0.016
AFG,1790,0.016
AFG,1791,0.016
AFG,1792,0.016
AFG,1793,0.016
AFG,1794,0.016
AFG,1795,0.016
AFG,1796,0.016
AFG,1797,0.016
AFG,1798,0.016
AFG,1799,0.016
AFG,1800,0.016
AFG,1801,0.016
AFG,1802,0.016
AFG,1803,0.016
AFG,1804,0.016
AFG,1805,0.016
AFG,1806,0.016
AFG,1807,0.016
AFG,1808,0.016
AFG,1809,0.016
AFG,1810,0.016
AFG,1811,0.016
AFG,1812,0.016
AFG,1813,0.016
AFG,1814,0.016
AFG,1815,0.016
AFG,1816,0.016
AFG,1817,0.016
AFG,1818,0.016
AFG,1819,0.016
AFG,1820,0.016
AFG,1821,0.016
AFG,1822,0.016
AFG,1823,0.016
AFG,1824,0.016
AFG,1825,0.016
AFG,1826,0.016
AFG,1827,0.016
AFG,1828,0.016
AFG,1829,0.016
AFG,1830,0.016
AFG,1831,0.016
AFG,1832,0.016
AFG,1833,0.016
AFG,1834,0.016
AFG,1835,0.016
AFG,1836,0.016
AFG,1837,0.016
AFG,1838,0.016
AFG,1839,0.016
AFG,1840,0.016
AFG,1841,0.016
AFG,1842,0.016
AFG,1843,0.016
AFG,1844,0.016
AFG,1845,0.016
AFG,1846,0.016
AFG,1847,0.016
AFG,1848,0.016
AFG,1849,0.016
AFG,1850,0.016
AFG,1851,0.016
AFG,1852,0.016
AFG,1853,0.016
AFG,1854,0.016
AFG,1855,0.016
AFG,1856,0.016
AFG,1857,0.016
AFG,1858,0.016
AFG,1859,0.016
AFG,1860,0.016
AFG,1861,0.016
AFG,1862,0.016
AFG,1863,0.016
AFG,1864,0.016
AFG,1865,0.016
AFG,1866,0.016
AFG,1867,0.016
AFG,1868,0.016
AFG,1869,0.016
AFG,1870,0.016
AFG,1871,0.016
AFG,1872,0.016
AFG,1873,0.016
AFG,1874,0.016
AFG,1875,0.016
AFG,1876,0.016
AFG,1877,0.016
AFG,1878,0.016
AFG,1879,0.016
AFG,1880,0.015
AFG,1881,0.015
AFG,1882,0.015
AFG,1883,0.015
AFG,1884,0.015
AFG,1885,0.015
AFG,1886,0.015
AFG,1887,0.015
AFG,1888,0.015
AFG,1889,0.015
AFG,1890,0.015
AFG,1891,0.015
AFG,1892,0.015
AFG,1893,0.015
AFG,1894,0.015
AFG,1895,0.015
AFG,1896,0.015
AFG,1897,0.015
AFG,1898,0.015
AFG,1899,0.015
AFG,1900,0.014
AFG,1901,0.014
AFG,1902,0.017
AFG,1903,0.017
AFG,1904,0.017
AFG,1905,0.017
AFG,1906,0.017
AFG,1907,0.017
AFG,1908,0.017
AFG,1909,0.017
AFG,1910,0.019
AFG,1911,0.019
AFG,1912,0.019
AFG,1913,0.019
AFG,1914,0.019
AFG,1915,0.019
AFG,1916,0.019
AFG,1917,0.019
AFG,1918,0.019
AFG,1919,0.022
AFG,1920,0.03
AFG,1921,0.033
AFG,1922,0.033
AFG,1923,0.032
AFG,1924,0.098
AFG,1925,0.091
AFG,1926,0.094
AFG,1927,0.094
AFG,1928,0.094
AFG,1929,0.097
AFG,1930,0.096
AFG,1931,0.108
AFG,1932,0.076
AFG,1933,0.076
AFG,1934,0.08
AFG,1935,0.08
AFG,1936,0.08
AFG,1937,0.08
AFG,1938,0.08
AFG,1939,0.08
AFG,1940,0.079
AFG,1941,0.079
AFG,1942,0.079
AFG,1943,0.077
AFG,1944,0.077
AFG,1945,0.077
