Code,Year,GDP Per Capita
ALB,1990,4827.0513
DZA,1990,8828.874
AGO,1990,5793.0845
ATG,1990,17016.865
ARG,1990,14136.525
ARM,1990,5153.2983
ABW,1990,32278.87
AUS,1990,30897.965
AUT,1990,37494.56
AZE,1990,7616.91
BHS,1990,36161.11
BHR,1990,36997.734
BGD,1990,1730.3689
BRB,1990,14086.431
BLR,1990,8895.172
BEL,1990,35506.926
BLZ,1990,6292.179
BEN,1990,2109.5593
BMU,1990,65961.41
BTN,1990,2895.535
BOL,1990,4437.8667
BWA,1990,9164.757
BRA,1990,10401.843
BRN,1990,70358.73
BGR,1990,12508.321
BFA,1990,981.8448
BDI,1990,1175.155
CMR,1990,3483.1868
CAN,1990,34544.625
CPV,1990,1816.0248
CAF,1990,1200.6134
TCD,1990,1027.2444
CHL,1990,9701.824
CHN,1990,1423.8964
COL,1990,8434.959
COM,1990,2922.7122
COG,1990,5080.052
CRI,1990,9810.552
CIV,1990,4351.4766
CYP,1990,25232.2
CZE,1990,23585.182
COD,1990,1750.1697
DNK,1990,39027.98
DMA,1990,7855.821
DOM,1990,6207.1123
,1990,5159.899
ECU,1990,8120.001
EGY,1990,6291.7056
SLV,1990,5190.0376
GNQ,1990,936.41974
SWZ,1990,4909.266
ETH,1990,767.1704
,1990,23525.43
,1990,28535.203
FJI,1990,7889.8784
FIN,1990,32939.383
FRA,1990,33843.02
GAB,1990,17559.006
GMB,1990,2080.1582
GEO,1990,11135.463
DEU,1990,36699.48
GHA,1990,2299.6387
GRC,1990,24262.738
GRD,1990,8571.968
GTM,1990,5561.071
GIN,1990,1507.1985
GNB,1990,1998.1732
GUY,1990,4818.393
HTI,1990,3612.8152
,1990,31786.328
HND,1990,3912.7021
HKG,1990,28797.703
IND,1990,1819.0216
IDN,1990,4519.7227
IRN,1990,9442.248
IRQ,1990,7449.4717
IRL,1990,26673.96
ITA,1990,36585.68
JAM,1990,8692.502
JPN,1990,32846.39
JOR,1990,8127.6265
KAZ,1990,13475.64
KEN,1990,3655.362
KIR,1990,2045.2723
KGZ,1990,5158.3174
LAO,1990,1939.0862
,1990,10781.964
LBN,1990,5855.805
LSO,1990,1265.5164
,1990,1346.659
,1990,3150.4333
LUX,1990,70860.82
MAC,1990,47879.96
MDG,1990,1808.7435
MWI,1990,936.9863
MYS,1990,10607.769
MLI,1990,1336.5719
MLT,1990,16130.334
MHL,1990,3417.7197
MRT,1990,4611.9395
MUS,1990,8233.912
MEX,1990,16370.869
FSM,1990,2925.3586
,1990,10816.291
,1990,4607.0444
MNG,1990,5030.073
MAR,1990,4119.872
MOZ,1990,460.9659
MMR,1990,616.3129
NAM,1990,6223.453
NPL,1990,1554.602
NLD,1990,36461.418
NZL,1990,27998.398
NIC,1990,3409.8025
NER,1990,1077.8706
NGA,1990,3259.581
,1990,39867.25
MKD,1990,11111.286
NOR,1990,42302.26
OMN,1990,30462.201
PAK,1990,3034.1133
PAN,1990,11211.831
PNG,1990,2907.4019
PRY,1990,8818.629
PER,1990,5240.258
PHL,1990,4232.4775
POL,1990,11259.4375
PRT,1990,23556.855
PRI,1990,21595.979
ROU,1990,13376.159
RUS,1990,21482.748
RWA,1990,933.083
KNA,1990,14170.434
LCA,1990,11419.1045
VCT,1990,6480.031
WSM,1990,3655.952
SAU,1990,42163.8
SEN,1990,2469.6033
SYC,1990,15538.385
SLE,1990,1433.1187
SGP,1990,37326.305
SLB,1990,2192.103
ZAF,1990,10391.964
,1990,1960.5931
KOR,1990,12656.396
ESP,1990,27543.22
LKA,1990,4040.0283
,1990,2938.28
SDN,1990,2756.53
SUR,1990,13633.589
SWE,1990,34156.82
CHE,1990,56232.027
TJK,1990,3990.8691
TZA,1990,1338.5645
THA,1990,7273.059
TGO,1990,1800.3202
TON,1990,3625.4998
TTO,1990,9861.298
TUN,1990,5660.289
TUR,1990,12535.92
TKM,1990,7137.6035
TUV,1990,2703.2937
UGA,1990,901.6608
UKR,1990,16428.48
ARE,1990,109694.56
GBR,1990,30657.84
USA,1990,40451.5
,1990,5874.9365
URY,1990,11112.736
UZB,1990,3638.877
VUT,1990,2774.1384
VNM,1990,2099.3945
OWID_WRL,1990,9718.008
ZMB,1990,2290.0393
ZWE,1990,2704.7573
ALB,1991,3496.3867
DZA,1991,8517.377
AGO,1991,5659.119
ATG,1991,17303.639
ARG,1991,15209.487
ARM,1991,4473.519
ABW,1991,33744.11
AUS,1991,30390.135
AUT,1991,38399.676
AZE,1991,7463.629
BHS,1991,33973.793
BHR,1991,39769.312
BGD,1991,1756.3326
BRB,1991,13509.206
BLR,1991,8784.377
BEL,1991,36023.684
BLZ,1991,6887.2275
BEN,1991,2132.3967
BMU,1991,63958.895
BTN,1991,2836.6472
BOL,1991,4575.7065
BWA,1991,9569.34
BRA,1991,10328.957
BRN,1991,70439.055
BGR,1991,11565.936
BFA,1991,1044.174
BDI,1991,1209.3882
CMR,1991,3251.7551
CAN,1991,33404.55
CPV,1991,1801.2177
CAF,1991,1157.3817
TCD,1991,1075.1841
CHL,1991,10290.04
CHN,1991,1534.7053
COL,1991,8430.223
COM,1991,2695.256
COG,1991,5059.1323
CRI,1991,9781.46
CIV,1991,4191.812
CYP,1991,24769.252
CZE,1991,20895.879
COD,1991,1550.7637
DNK,1991,39469.324
DMA,1991,8000.8506
DOM,1991,6137.1045
,1991,5362.987
ECU,1991,8281.087
EGY,1991,6210.9263
SLV,1991,5177.017
GNQ,1991,893.09735
SWZ,1991,4795.2285
ETH,1991,683.0347
,1991,23241.541
,1991,28838.154
FJI,1991,7633.7935
FIN,1991,30831.61
FRA,1991,33898.234
GAB,1991,18134.816
GMB,1991,2059.832
GEO,1991,8724.29
DEU,1991,38294.156
GHA,1991,2360.5127
GRC,1991,24716.41
GRD,1991,8628.795
GTM,1991,5611.5425
GIN,1991,1485.4352
GNB,1991,2057.1743
GUY,1991,5131.0254
HTI,1991,3607.4517
,1991,32014.768
HND,1991,3678.262
HKG,1991,30188.363
HUN,1991,16426.941
IND,1991,1800.0109
IDN,1991,4742.622
IRN,1991,10239.682
IRQ,1991,2650.087
IRL,1991,27032.807
ITA,1991,37122.82
JAM,1991,9038.113
JPN,1991,33870.375
JOR,1991,7839.8735
KAZ,1991,11917.714
KEN,1991,3590.7449
KIR,1991,2005.5479
KGZ,1991,4671.523
LAO,1991,1966.4387
,1991,10932.374
LBN,1991,8577.038
LSO,1991,1331.1036
,1991,1318.258
,1991,3118.311
LUX,1991,75961.67
MAC,1991,47966.266
MDG,1991,1644.51
MWI,1991,988.5376
MYS,1991,11297.591
MLI,1991,1464.2628
MLT,1991,16683.77
MHL,1991,3347.586
MRT,1991,4557.467
MUS,1991,8506.798
MEX,1991,16688.648
FSM,1991,3085.5571
,1991,11013.418
,1991,4564.838
MNG,1991,4512.1104
MAR,1991,4342.933
MOZ,1991,474.4789
MMR,1991,603.5585
NAM,1991,6510.012
NPL,1991,1611.3595
NLD,1991,37057.582
NZL,1991,26383.26
NIC,1991,3325.1174
NER,1991,1040.324
NGA,1991,3188.5103
,1991,39231.34
MKD,1991,10463.965
NOR,1991,43399.758
OMN,1991,30766.715
PAK,1991,3086.3499
