Code,Year,GDP Per Capita,,
ALB,1950,1596,,
DZA,1950,2176,,
AGO,1950,1677,,
ARG,1950,7949,,
AUS,1950,11815,,
AUT,1950,5907,,
BHR,1950,3354,,
BGD,1950,861,,
BRB,1950,3390,,
BEL,1950,8706,,
BEN,1950,1627,,
BOL,1950,3011,,
BWA,1950,489,,
BRA,1950,2236,,
BGR,1950,2632,,
BFA,1950,756,,
BDI,1950,595,,
KHM,1950,768,,
CMR,1950,1070,,
CAN,1950,11622,,
CPV,1950,1006,,
CAF,1950,1307,,
TCD,1950,815,,
CHL,1950,5880,,
CHN,1950,799,,
COL,1950,3432,,
COM,1950,534,,
COG,1950,1693,,
CRI,1950,3129,,
CIV,1950,1659,,
CUB,1950,2638,,
CYP,1950,2885,,
OWID_CZS,1950,5581,,
COD,1950,909,,
DNK,1950,11067,,
DJI,1950,3459,,
DMA,1950,980,,
DOM,1950,1637,,
,1950,1109.4408,,
,1950,4133.084,,
ECU,1950,2970,,
EGY,1950,1450.9724,,
SLV,1950,2375,,
GNQ,1950,797,,
SWZ,1950,604,,
ETH,1950,622,,
FIN,1950,6779,,
,1950,1309,,
FRA,1950,8266,,
GAB,1950,2958,,
GMB,1950,982,,
DEU,1950,6186,,
GHA,1950,1788,,
GRC,1950,3052,,
GTM,1950,3323,,
GIN,1950,520,,
GNB,1950,462,,
HTI,1950,1790,,
HND,1950,2018,,
HKG,1950,4082,,
HUN,1950,3953,,
ISL,1950,8498,,
IND,1950,987,,
IDN,1950,1280,,
IRN,1950,2742,,
IRQ,1950,2174,,
IRL,1950,5504,,
ISR,1950,4490,,
ITA,1950,5582,,
JAM,1950,2115,,
JPN,1950,3062,,
JOR,1950,2651,,
KEN,1950,1038,,
KWT,1950,46031,,
LAO,1950,697,,
,1950,3678.346,,
LBN,1950,3872,,
LSO,1950,631,,
LBR,1950,3151,,
LBY,1950,620,,
LUX,1950,13378,,
MDG,1950,1516,,
MWI,1950,516,,
MYS,1950,2485,,
MLI,1950,728,,
MLT,1950,1573,,
MRT,1950,679,,
MUS,1950,3942,,
MEX,1950,3510,,
,1950,2287.5552,,
MNG,1950,677,,
MAR,1950,2319,,
MOZ,1950,1806,,
MMR,1950,631,,
NAM,1950,4009,,
NPL,1950,802,,
NLD,1950,9558,,
NZL,1950,13479,,
NIC,1950,2565,,
NER,1950,983,,
NGA,1950,1200,,
NOR,1950,8655,,
OMN,1950,993,,
PAK,1950,1025,,
PSE,1950,1549,,
PAN,1950,2577,,
PRY,1950,2391,,
PER,1950,3679,,
PHL,1950,1706,,
POL,1950,3900,,
PRT,1950,3325,,
PRI,1950,3416,,
QAT,1950,48436,,
ROU,1950,1883.9768,,
RUS,1950,3310.8347,,
RWA,1950,1020,,
LCA,1950,1231,,
STP,1950,1278,,
SAU,1950,3556,,
SEN,1950,2007,,
SYC,1950,2632,,
SLE,1950,902,,
SGP,1950,3572,,
ZAF,1950,4041,,
KOR,1950,998.08875,,
,1950,1069.7146,,
ESP,1950,3459.4402,,
LKA,1950,1997,,
,1950,1326.6232,,
SWE,1950,10742,,
CHE,1950,11541.037,,
SYR,1950,3838,,
TWN,1950,1460,,
TZA,1950,676,,
THA,1950,1302,,
TGO,1950,870,,
TTO,1950,5856,,
TUN,1950,1777,,
TUR,1950,2079,,
OWID_USS,1950,4529,,
UGA,1950,1095,,
ARE,1950,25182,,
GBR,1950,11061,,
USA,1950,15240,,
URY,1950,7015,,
VEN,1950,8462,,
VNM,1950,1049,,
,1950,7239.914,"United States, Canada, Australia and New Zealand",
,1950,14773.206,,
OWID_WRL,1950,3360.164,,
YEM,1950,1452,,
OWID_YGS,1950,2276,,
ZMB,1950,1054,,
ZWE,1950,1117,,
AFG,1951,1170,,
ALB,1951,1666,,
DZA,1951,2147,,
AGO,1951,1715,,
ARG,1951,8086,,
AUS,1951,11966,,
AUT,1951,6311,,
BHR,1951,3483,,
BGD,1951,862,,
BRB,1951,3513,,
BEL,1951,9161,,
BEN,1951,1597,,
BOL,1951,3209,,
BWA,1951,497,,
BRA,1951,2279,,
BGR,1951,3170,,
BFA,1951,776,,
BDI,1951,618,,
KHM,1951,775,,
CMR,1951,1095,,
CAN,1951,12007,,
CPV,1951,1019,,
CAF,1951,1339,,
TCD,1951,834,,
CHL,1951,6001,,
CHN,1951,950,,
COL,1951,3427,,
COM,1951,553,,
COG,1951,1726,,
